position,title
Q878151,President
Q7925044,Vice President
Q110164917,Minister of Agriculture and Livestock
Q110164211,Minister of Culture
Q110164123,Minister of Economy
Q67071405,"Minister of Education, Science and Technology"
Q110164996,Minister of Environment and Natural Resources
Q56249714,Minister of Finance
Q56457352,Minister of Foreign Affairs
Q110164949,Minister of Health
Q110164285,Minister of Housing
Q61722320,Minister of Internal Affairs
Q67056742,Minister of Justice and Public Security
Q110164783,Minister of Labour and Social Provision
Q110164545,Minister of Local Development
Q67054651,Minister of National Defence
Q110164986,Minister of Public Works
Q110165011,Minister of Tourism
Q6360067,President of the Legislative Assembly
Q59510245,President of the Legislative Assembly
Q110165216,Governor of the Central Reserve Bank
Q110165233,Head of Joint Chiefs
